name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
The Coffee Shack,Yes,Yes,4.2/5,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500,Cafes,Banashankari
Caf-Eleven,No,No,4.0/5,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450,Cafes,Banashankari
San Churro Cafe,Yes,No,3.8/5,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800,Cafes,Banashankari
Cafe Vivacity,Yes,No,3.8/5,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650,Cafes,Banashankari
Catch-up-ino,Yes,No,3.9/5,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800,Cafes,Banashankari
Kirthi's Biryani,Yes,No,3.8/5,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700,Cafes,Banashankari
T3H Cafe,No,No,3.9/5,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300,Cafes,Banashankari
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400,Cafes,Banashankari
The Vintage Cafe,Yes,No,3.0/5,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400,Cafes,Banashankari
Woodee Pizza,Yes,No,3.7/5,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500,Cafes,Banashankari
Cafe Coffee Day,No,No,3.6/5,28,Banashankari,Cafe,,"Cafe, Fast Food",900,Cafes,Banashankari
My Tea House,Yes,No,3.6/5,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600,Cafes,Banashankari
Hide Out Cafe,No,No,3.7/5,31,Banashankari,Cafe,,Cafe,300,Cafes,Banashankari
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,,"Cafe, Bakery",600,Cafes,Banashankari
Coffee Tindi,Yes,No,3.8/5,75,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200,Cafes,Banashankari
Sea Green Cafe,No,No,3.3/5,4,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500,Cafes,Banashankari
Cuppa,No,No,3.3/5,23,Banashankari,Cafe,,"Cafe, Fast Food",550,Cafes,Banashankari
Srinathji's Cafe,No,No,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550,Cafes,Banashankari
Redberrys,Yes,No,4.0/5,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600,Cafes,Banashankari
Foodiction,Yes,No,2.8/5,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500,,
 'RATED\n  not that much worth'), ('Rated 2.0', 'RATED\n  Delay in delivery'), ('Rated 1.0'," """"RATED\n  Not good and gravy not sufficient really it's bad"""")", 'RATED\n  it was not worth the money'), ('Rated 4.0', 'RATED\n  Very nice loved it and ur chat support is really awesome please keep it up love u'), ('Rated 3.0', 'RATED\n  one item wasnt delivered')," don't expect too much from this place.."""")", ('Rated 1.0'
Sweet Truth,Yes,No,3.9/5,35,Banashankari,Delivery,,"Bakery, Desserts",500,Delivery,Banashankari
Ovenstory Pizza,Yes,No,3.9/5,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750,Delivery,Banashankari
Faasos,Yes,No,4.2/5,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500,,
 Will Recommend To Everyone.\n\nCheers!!'), ('Rated 5.0', 'RATED\n  This was my second time trying faasos lunch box and the experience was just perfect. Actually this time i ordered a Navratra special thali and it was just perfect in taste and the quantity of box was also enough for 1 person. I love the faasos lunch box..it is the best lunch box available in the market.\nThe delivery was also very fast.'), ('Rated 5.0', 'RATED\n  The Navaratri special thali of faasos is amazing. It was really tasty. The thalli included paneer, potato, and 2 chapattis. Each and every bite was a bliss. Truly enjoyed this meal! \U0001f929'), ('Rated 5.0', 'RATED\n  Faasos is a perfect place to order some lip smacking fast food.\nI ordered Paneer steak , Veg jumbo roll and paneer cheesy roll.\nThey had Navratri Special Menu also which was a unique concept.\nPackaging was awesome.\nTaste was up to the mark.\nPaneer steak was amazing.\nWould Love to order from here again.'), ('Rated 4.5', 'RATED\n  FAASOS\n\nJumbo Chicken Wrap\n\nBhuna Chicken & Chicken Tikka Wrap\n\nJumbo Chicken Wrap:- The perfect taste of bhuna ( spicy ) chicken with the combination of mayo sauce
Behrouz Biryani,Yes,No,3.9/5,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650,Delivery,Banashankari
Fast And Fresh,Yes,No,2.8/5,91,Banashankari,Quick Bites,,"North Indian, Chinese, Fast Food",400,Delivery,Banashankari
Szechuan Dragon,Yes,No,4.2/5,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600,Delivery,Banashankari
Empire Restaurant,Yes,No,4.4/5,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750,,
 'RATED\n  We enjoyed our dinner, grilled chicken was good, with tandoori roti good combination, always a good experience, good support from staff. Try their kabab')," """"RATED\n  The food was good and the ambience was quite impressive too. The service also was up to the mark"," although I wanted to have the buffet but wasn't able to because I was 10 minutes late."""")", ('Rated 4.0'," """"RATED\n  Okay this review is mainly about the shaadi ka biryani (mutton). Lived the taste. We had taken a home delivery of this through zomatogold. No complaints on the service and delivery.\n\nOther than that"," been to empire a couple of times. Food depends on the day and the time I guess. Sometimes it's really good and at other times I have found hair in the food. And they do tend to make all the curries spicy."""")", Jayanagar, Bannerghatta Road
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,Banashankari,Quick Bites,,South Indian,150,Delivery,Banashankari
Chaatimes,Yes,No,3.8/5,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200,Delivery,Banashankari
Havyaka Mess,No,No,3.9/5,28,Banashankari,Mess,,South Indian,300,Delivery,Banashankari
McDonald's,Yes,No,3.9/5,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500,Delivery,Banashankari
Domino's Pizza,Yes,No,3.9/5,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800,Delivery,Banashankari
Onesta,Yes,Yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600,,
 and the crust was made amazing also so was the pizza.\nThe service is really good and the place is clean also. All in all wonderful place and another great restaurant part of the franchise.'), ('Rated 4.0', 'RATED\n  Loved the foodie experience here!!!!!! Came here for the name of the week offer and trust me I was disappointed. This whole place has such a good ambience that u l love it instantly.\nCrazy Bangalore rain and Fresh piping hot pizza and the night is sorted!\nUnlimited pizzas, a mocktail and did i just hear unlimited desserts?!\nGoodbye midweek blues!!!?\n\nI would specially mention the staff here-Chaitanya,Arup and Binita serving us, never have i had such an experience.\nWhat really makes your food enjoyable is just not the taste but how the person served you!\n\nTop notch guys!!\nComing back for more-offer or no offer ! ?'), ('Rated 5.0', 'RATED\n  This roof top outlet of OnestÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\xa0 is one of the amazing places to have the best pizzas in and around Banashankari.\n\nNot only the ambience but also the cheerful yet humble service staff catalised my great experience there.\n\nMust try: chat pizza, herbed wedges\n\n#rajeshwrites'), ('Rated 4.0', and off course pizzas .\nThey serve these tiny little desserts which look good . Personal favourite was cheese balls and fish fingers .\nI love the service here itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s quick even during the offers their service is pretty fast.'), ('Rated 5.0'
Hotboxit,No,No,3.8/5,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400,Delivery,Banashankari
Kitchen Garden,Yes,No,3.6/5,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300,Delivery,Banashankari
Recipe,Yes,No,4.0/5,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450,Delivery,Banashankari
Beijing Bites,Yes,No,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850,Delivery,Banashankari
Tasty Bytes,Yes,No,3.1/5,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300,Delivery,Banashankari
Petoo,No,No,3.7/5,21,Banashankari,Quick Bites,,North Indian,450,Delivery,Banashankari
Shree Cool Point,Yes,No,4.1/5,28,Vijay Nagar,Quick Bites,,"Fast Food, Street Food, Beverages",150,Delivery,Banashankari
Corner House Ice Cream,No,No,4.3/5,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400,Delivery,Banashankari
Biryanis And More,Yes,No,4.0/5,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750,Delivery,Banashankari
Roving Feast,No,No,4.0/5,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Delivery,Banashankari
FreshMenu,Yes,No,3.9/5,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery,Banashankari
Banashankari Donne Biriyani,Yes,No,3.8/5,104,Banashankari,Quick Bites,,"Biryani, Fast Food",300,Delivery,Banashankari
Wamama,Yes,Yes,4.2/5,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,,
 ('Rated 4.0', 'RATED\n  Love the ambience! This is the place to go if youÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92re looking for authentic oriental food. They have special breakfast menu which is worth a try for everyone! And they make amazing cocktails :)'), ('Rated 4.0', 'RATED\n  First thing about this place is.. PAN Asian cuisine.. there are hardly any place which serves sushi etc in this part of Bangalore.. you can park your vehicle at BDA Complex parking.. and enjoy your evening peacefully.. ambiance is nice... food is delicious..\nwe tried veg dim sum platter, seafood sushi platter, yakisoba (buckwheat noodles), house wine, wamama special mocktail and to finish fried ice cream. Everything was good.'), ('Rated 5.0', 'RATED\n  Amazing place! Must visit! Pocket friendly! Good food! Good ambience! Loved the overall experience! Tried dim sums, 'RATED\n  Amazing Asian food and even better place.Its so beautiful and pleasing to the eyes.Has good vibe,their must try would be the sushi
Five Star Chicken,No,No,3.6/5,55,Banashankari,Quick Bites,,"Fast Food, Burger",200,Delivery,Banashankari
XO Belgian Waffle,Yes,No,3.7/5,17,Banashankari,Dessert Parlor,,"Desserts, Beverages",400,Delivery,Banashankari
Peppy Peppers,No,No,4.2/5,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800,,
 this was amazing, loved it, the flavor of both the paneer tikka and biriyani were very good.\n\nService was good too.\n\nAmbience: 3.5/5\nService: 4/5\nFood: 3/5\nPrice: 4/5\n\nMust try: paneer tikka biriyani'), ('Rated 4.0'," """"RATED\n  PEPPY PEPPERS is a unit of jalsa banashankri. They have the best thin crust wood fired pizza. The ambience is good with full of white tables and chairs. The staff is friendly and quick at service.\nComing to food we tried peppy pepper fries large"," taste was just amazing and the crust was perfect later we ordered for peppy panner pizza where the taste was good but the crust was watery where we couldn't take and hold it in our hands.\nFully not satisfied nor fully not disappointed."""")", ('Rated 2.0', 'RATED\n  A not so good experience in this restaurant\nAmbience is okay but food taste is not upto mark\nThe curry leaf fried Chicken was soggy & not hot enough.\nCheesy fries was big dampener.. pizza cheese was just mixed with the fries which was way too sticky & fries itself tasted not so great.\nThe only solace was Thin crust Chicken supreme pizza which was good.\nService was quite slow. To get the starters it took almost 30 min.'), ('Rated 3.0', 'RATED\n  Went here for dinner on a Saturday night, so came here to try.\n\nWe got cheese balls, super large fries and Taiwanese baby corn for starters. The cheese balls were pretty good but they had given chili mayo as accompaniment which was just mayo mixed with chilli powder
Goa 0 Km,Yes,Yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800,Delivery,Banashankari
Chinese Kitchen,Yes,No,3.8/5,58,Basavanagudi,Quick Bites,,Chinese,150,Delivery,Banashankari
1947,No,Yes,4.0/5,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850,Delivery,Banashankari
Cake of the Day,No,No,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",,Bakery,150,Delivery,Banashankari
Kabab Magic,Yes,No,4.1/5,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400,Delivery,Banashankari
Namma Brahmin's Idli,Yes,No,3.6/5,34,Jayanagar,Quick Bites,,South Indian,100,Delivery,Banashankari
Gustoes Beer House,No,No,4.1/5,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari
Sugar Rush,No,No,3.8/5,39,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery,Banashankari
Burger King,Yes,No,3.2/5,71,Basavanagudi,Quick Bites,,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
The Good Bowl,Yes,No,3.6/5,6,Banashankari,"Takeaway, Delivery",,"Italian, North Indian, Biryani",500,Delivery,Banashankari
The Biryani Cafe,No,No,4.1/5,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300,Delivery,Banashankari
Spicy Tandoor,No,No,NEW,0,Banashankari,Quick Bites,,North Indian,150,Delivery,Banashankari
LSD Cafe,No,No,2.9/5,84,Banashankari,Delivery,,"Chinese, Continental, Italian, North Indian",700,,
 'RATED\n  Best Delivery Restaurants that serve late at night. Ordered #ChickenChanghezi and the quantity was sufficient for two person. It was delivered before time and it was absolute yummy. Will order again soon.. Pretty Soon'), ('Rated 5.0'," """"RATED\n  Life saver at night!\nI woke up at 2 PM last time and decided to try out this interestingly named place. Ordered a kit kat shake"," chicken chengezi and assorted breads. I was absolutely surprised at the quality of food at this point of day. I'd definitely recommend it to all my friends."""")", ('Rated 5.0', even Better Service in the middle of night #LSD Great Work. Best option for the night owls\nPS. Love the Pasta and garlic bread combo.'), ('Rated 4.0', 'RATED\n  Exhaustive mouth watery menu , well-cooked and packaged  \nFriendly delivery guys ,Two suggestions, 'RATED\n  Great food for nocturnes.with very courteous management..delivery is also fairly quick..my only suggestion is to please introduce online order\nThat will be a very wise step considering the demonetisation.\nAll in all great job ?'), ('Rated 4.0'
Rolls On Wheels,No,No,3.6/5,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery,Banashankari
Om Sri Vinayaka Chats,No,No,NEW,0,Banashankari,"Takeaway, Delivery",,"Street Food, Fast Food",500,Delivery,Banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery,Banashankari
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,Banashankari,Quick Bites,,"Biryani, South Indian",300,Delivery,Banashankari
Kolbeh,No,No,3.7/5,22,Banashankari,Quick Bites,,Fast Food,500,Delivery,Banashankari
Upahar Sagar,No,No,3.8/5,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,Vijay Nagar,Fine Dining,,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
Frozen Bottle,Yes,No,4.2/5,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
Parimala Sweets,No,No,3.5/5,14,Banashankari,Sweet Shop,,"Mithai, Street Food",200,Delivery,Banashankari
Vaishali Deluxe,No,No,3.8/5,42,Banashankari,Casual Dining,,"North Indian, Chinese",700,Delivery,Banashankari
Chill Out,No,No,,0,Banashankari,Quick Bites,,"South Indian, Chinese",100,Delivery,Banashankari
The Big O Bakes,No,No,4.0/5,66,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery,Banashankari
Meghana Foods,Yes,No,4.4/5,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery,Banashankari
Krishna Sagar,No,No,3.5/5,31,Banashankari,Quick Bites,,North Indian,200,Delivery,Banashankari
Dessert Rose,No,No,3.5/5,7,Banashankari,Dessert Parlor,,Desserts,500,Delivery,Banashankari
Chickpet Donne Biryani House,No,No,3.7/5,21,Banashankari,Quick Bites,,Biryani,250,Delivery,Banashankari
Me And My Cake,No,No,,0,Banashankari,Delivery,,"Bakery, Desserts",500,Delivery,Banashankari
Sunsadm,No,No,,0,Banashankari,"Takeaway, Delivery",,South Indian,400,Delivery,Banashankari
Annapooraneshwari Mess,No,No,,0,Banashankari,Mess,,South Indian,200,Delivery,Banashankari
Thanco's Natural Ice Creams,No,No,3.2/5,9,Banashankari,Dessert Parlor,,Ice Cream,300,Delivery,Banashankari
Nandhini Deluxe,No,No,2.6/5,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery,Banashankari
Vi Ra's Bar and Restaurant,No,No,3.3/5,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
Kaggis,No,No,3.8/5,64,Banashankari,Quick Bites,,"Fast Food, Bakery",250,Delivery,Banashankari
Ayda Persian Kitchen,No,No,3.7/5,39,Banashankari,Casual Dining,,"North Indian, Iranian",950,Delivery,Banashankari
Chatar Patar,No,No,3.7/5,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery,Banashankari
Polar Bear,Yes,No,3.8/5,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
Kidambi's Kitchen,No,No,3.5/5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Delivery,Banashankari
Mane Thindi,No,No,3.7/5,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery,Banashankari
Kotian Karavali Restaurant,No,No,3.5/5,10,Banashankari,Quick Bites,,"South Indian, Biryani",300,Delivery,Banashankari
Floured-Baked With Love,No,No,3.8 /5,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery,Banashankari
CAFE NOVA,No,No,3.2/5,11,Banashankari,Cafe,,"Cafe, Bakery",600,Delivery,Banashankari
Cakes & Slices,No,No,3.5/5,13,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery,Banashankari
Spice 9,No,No,3.4/5,8,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
Coffee Shopee,No,No,,0,Banashankari,"Takeaway, Delivery",,Beverages,250,Delivery,Banashankari
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,Banashankari,Quick Bites,,Biryani,300,Delivery,Banashankari
Katriguppe Donne Biryani,No,No,3.2/5,4,Banashankari,Quick Bites,,North Indian,300,Delivery,Banashankari
Hari Super Sandwich,No,No,NEW,0,Banashankari,"Takeaway, Delivery",,"Sandwich, Pizza, Beverages",200,Delivery,Banashankari
Atithi Point Ande Ka Funda,No,No,3.1/5,29,Banashankari,Quick Bites,,North Indian,150,Delivery,Banashankari
Just Bake,No,No,3.4/5,8,Banashankari,Bakery,,"Bakery, Desserts",400,Delivery,Banashankari
Dharwad Line Bazaar Mishra Pedha,No,No,,0,Banashankari,Dessert Parlor,,Mithai,150,Delivery,Banashankari
Cake Bite,No,No,,0,Banashankari,Bakery,,Bakery,300,Delivery,Banashankari
Aarush's Food Plaza,No,No,,0,Banashankari,Quick Bites,,"North Indian, Street Food",200,Delivery,Banashankari
Wood Stove,No,No,,0,Banashankari,"Takeaway, Delivery",,South Indian,150,Delivery,Banashankari
Kulfi & More,No,No,,0,Banashankari,Dessert Parlor,,"Ice Cream, Desserts, Juices",150,Delivery,Banashankari
Kannadigas Karavali,No,No,,0,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",250,Delivery,Banashankari
